IE_XML_ID;IE_NAME;IP_PROP228;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_PRICE_1;CV_CURRENCY_1
94370250;Шланг в сборе SE;9.437-025.0;600;450;120;450;0.00;RUB
90018100;Клавиша серый;9.001-810.0;0;;;;397.00;RUB
40690560;Крышка фильтра;4.069-056.0;0;;;;0.00;RUB
90024780;Держатель магнит комплектный 20x5;9.002-478.0;0;;;;220.00;RUB
69069550;Форсунка для пола RD264 DN35, 1:40;6.906-955.0;327;230;85;260;1075.00;RUB
43219720;Паровой шланг в сборе для замены;4.321-972.0;544;300;60;400;4909.00;RUB
28632080;Спец.аксессуар для глажения I 600;2.863-208.0;1780;147;180;297;7674.00;RUB
28632700;Микроволоконные обтяжки для ручная форсу;2.863-270.0;76;126;207;42;1170.00;RUB
28842800;Ручная насадка;2.884-280.0;178;160;60;200;1214.00;RUB
63693570;Комплект салфеток, 5 шт.;6.369-357.0;272;125;90;200;1052.00;RUB
41300183;Насадка для пола;4.130-018.3;269;160;40;300;1235.00;RUB
28630770;Комплект круглых щёток, 3 шт.;2.863-077.0;44;130;26;160;0.00;RUB
41300210;Точечное сопло в компл.;4.130-021.0;36;51;39;124;566.00;RUB
66500960;Кабель с штепсель *CH 4m;6.650-096.0;0;;;;1083.00;RUB
66497990;Кабель с штепсель *GB 4m;6.649-799.0;0;;;;1244.00;RUB
66515190;Плоский штепсель;6.651-519.0;0;;;;66.00;RUB
63033240;Винт M 6x 32;6.303-324.0;0;;;;47.00;RUB
65120020;Подшипник резина сверху;6.512-002.0;0;;;;47.00;RUB
28632640;Комплект круглых щёток 4 шт.;2.863-264.0;68;125;30;200;714.00;RUB
28631710;Набор салфеток для ванной, 4 шт.;2.863-171.0;285;265;220;370;2132.00;RUB
28631590;Паровая турбощетка;2.863-159.0;249;125;45;200;1646.00;RUB
43220100;Паровой шланг в сборе д/замены I6006;4.322-010.0;530;180;70;280;3046.00;RUB
68620000;Задняя стенка утюг заменитель I 6006;6.862-000.0;0;;;;201.00;RUB
48840010;Лента изоляция AB 1000;4.884-001.0;0;;;;608.00;RUB
50331350;Крышка гладильный стол AB 1000;5.033-135.0;0;;;;495.00;RUB
68840130;Кабель с тяговая разгрузка AB1000 *CH;6.884-013.0;0;;;;1800.00;RUB
68840060;Pучка AB 1000;6.884-006.0;0;;;;239.00;RUB
28630180;Картридж спец. аксессуар;2.863-018.0;171;55;255;100;801.00;RUB
41304310;Сопло точечного разбрызгивания в компл.;4.130-431.0;31;45;40;125;318.00;RUB
65120380;Подшипник резина;6.512-038.0;0;;;;20.00;RUB
53642480;Уплотнение;5.364-248.0;40;90;90;17;186.00;RUB
53870360;Предупредительная надпись;5.387-036.0;0;;;;47.00;RUB
43220480;Шланг подачи пара без штепселя bk/yw;4.322-048.0;420;320;340;;1972.00;RUB
45120900;Нижняя часть корпуса комплектный заменит;4.512-090.0;0;;;;2240.00;RUB
55850660;Скоба;5.585-066.0;0;;;;13.00;RUB
40392350;Комплект кабеля заменитель SC 3;4.039-235.0;0;;;;1217.00;RUB
45120950;Опора комплектный заменитель DLE SC 3;4.512-095.0;0;;;;917.00;RUB
55850670;Изоляция DLE;5.585-067.0;0;;;;119.00;RUB
45121080;Верхняя часть корпуса комплектный замени;4.512-108.0;0;;;;2091.00;RUB
63035670;Винт с острие 3x12 Kombitorx T8;6.303-567.0;0;;;;5.00;RUB
28630610;Комплект щёток с латунной щетиной 3 шт.;2.863-061.0;67;125;30;200;895.00;RUB
28632630;Комплект мощное сопло SC1;2.863-263.0;45;125;200;29;664.00;RUB
28632590;Микроволоконные салфетки для пола EasyFi;2.863-259.0;111;126;207;44;1142.00;RUB
28632670;Набор насадок для пола EasyFix;2.863-267.0;409;375;260;51;2061.00;RUB
28632660;Комплект салфеток (ванна), SC EasyFix;2.863-266.0;200;251;207;46;2132.00;RUB
28632650;Набор микроволоконных салфеток кухня;2.863-265.0;205;251;207;46;2132.00;RUB
40390300;Комплект кабеля SC 4 EU;4.039-030.0;100;245;200;;1064.00;RUB
63948260;Всасывающий шланг DN32;6.394-826.0;800;400;90;500;4507.00;RUB
63943750;Всасывающий шланг;6.394-375.0;1350;470;90;600;7048.00;RUB
40069070;Дозатор пеногасителя;4.006-907.0;283;180;115;340;3435.00;RUB
41300010;Насадка для мягкой мебели PUZZI 8/1 10/1;4.130-001.0;134;220;40;200;2249.00;RUB
41300070;Насадка от пылесоса для пола;4.130-007.0;2650;455;140;710;11489.00;RUB
41300100;Соедин.форсунка в сборе упакованная;4.130-010.0;89;100;35;260;1764.00;RUB
47620140;Адаптер для тверд. поверхности 240 мм;4.762-014.0;239;130;60;370;1924.00;RUB
41300000;Ручка в сборе;4.130-000.0;365;250;50;340;4013.00;RUB
2814;Резьбовая крышка;6.394-106.0;10;49;49;19;1356.00;RUB
40250040;Всасывающая трубка в сборе;4.025-004.0;658;80;50;780;4067.00;RUB
43210010;Ручка для удлинительн. трубки;4.321-001.0;422;200;120;330;1924.00;RUB
41300080;Насадка для ковров 240 мм;4.130-008.0;651;340;70;380;5509.00;RUB
47640070;Корпус форсунки комплектный;4.764-007.0;0;;;;756.00;RUB
47650000;Распылитель набор;4.765-000.0;0;;;;955.00;RUB
50320260;Зажим насадка для щелей;5.032-026.0;0;;;;47.00;RUB
43210380;Обшивка трубы;4.321-038.0;110;310;100;65;1744.00;RUB
55153770;Колесо;5.515-377.0;348;180;180;;763.00;RUB
66503630;Сетевой кабель Puzzi 10/1;6.650-363.0;544;470;140;40;1284.00;RUB
50339890;Держатель принадлежности Puzzi 10/1, Puz;5.033-989.0;0;;;;315.00;RUB
40700060;Бак для химии;4.070-006.0;208;320;90;340;0.00;RUB
69800770;Двойной крюк B 40;6.980-077.0;8;45;35;50;259.00;RUB
69800780;Держатель рукоятки серый;6.980-078.0;15;27;40;53;259.00;RUB
69800800;Держатель флакона;6.980-080.0;18;72;33;78;491.00;RUB
63917960;Шланг высокого давления 12/16MPa,60G;6.391-796.0;1890;200;100;200;0.00;RUB
90376220;Фиксатор кабеля K6/K7 MODUL RANGE;9.037-622.0;48;75;65;120;153.00;RUB
90376190;Держатель разбрызгивателя нижний;9.037-619.0;40;80;60;82;148.00;RUB
90376180;Держатель разбрызгивателя верхний;9.037-618.0;88;85;60;130;267.00;RUB
26432370;Щетка Power Brush WB 150;2.643-237.0;966;235;353;206;3231.00;RUB
26431500;FJ 3 пенная насадка Basic Line;2.643-150.0;182;230;285;93;712.00;RUB
47642130;Роторное сопло 033 St;4.764-213.0;203;50;30;470;0.00;RUB
